,Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
0,John Dobson Street Northbound,Newcastle-upon-Tyne,,23/02/2016,31/10/2016,251.0,"62,975","16,222","£1,495,975.00","£5,960.06",250.9,"£89,910.00",£60.00,£30.00,Can rise to £90 or £98,
1,Victoria Square,Wolverhampton,Two cameras,30/11/2015,31/3/2016,123.0,,24979,,"£4,750.15",203.1,"£584,269.00",£60.00,£30.00,,Lane has two cameras. Figure not given for gross. Daily rate calculated from 2015-16 figure.
2,Eden Street - between junction with Union Street and junction with Brook Street,Kingston upon Thames,UAE01EDEN,13/09/2013,09/01/2017,1214.0,48334,14360,"£3,231,633.00","£2,661.97",39.8,"£990,454.00",,,,
3,Portland Street (south west bound),Manchester,,26/02/2016,13/12/2016,291.0,35176,5445,"£748,058.00","£2,570.65",120.9,"£1,251.00",£60.00,£30.00,,
4,Tyne Bridge Slip,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462.0,"41,726","30,094","£1,076,866.00","£2,330.88",90.3,"£692,402.00",£60.00,£30.00,Can rise to £90 or £98,
5,Portland Street (north east bound),Manchester,,25/05/2016,13/12/2016,202.0,21052,3296,"£463,106.00","£2,292.60",104.2,"£1,380.00",£60.00,£30.00,,
6,London Road - between the junction with Albert Road and Fairfield North,Kingston upon Thames,UAE01LOND,16/09/2013,09/01/2017,1211.0,31415,7961,"£2,081,221.00","£1,718.60",25.9,"£542,728.00",,,,
7,Hunts Bank,Manchester,,01/04/2010,13/12/2016,2448.0,120925,18621,"£3,532,378.00","£1,442.96",49.4,"£572,516.00",£60.00,£30.00,,
8,Southampton Row/Theobalds Road,Camden,WC1B 4AP,11/08/2011,09/01/2017,1978.0,39071,7504,"£2,679,879.13","£1,354.84",19.8,"£524,240.21",,,,
9,Shirley Road,Southampton,SO14 5AR,11/07/2016,02/12/2016,144.0,8362,0,"£191,490.00","£1,329.79",58.1,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
10,Warwick Road,Coventry,,01/10/2015,05/12/2016,431.0,"20,336","12,397","£553,021.49","£1,283.11",47.2,"£366,610.49",£60.00,£30.00,,
11,Shepherds Bush Rd Southbound,Hammersmith and Fulham,113,01/04/2009,30/11/2016,2800.0,54681,7381,"£3,543,084.00","£1,265.39",19.5,"£492,180.00",130,65,,
12,"North Hill, Colchester",Essex,,01/05/2014,08/11/2016,922.0,53535,17617,"£1,137,690.00","£1,233.94",58.1,"£430,830.00",£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
13,New Beech Street Hyde,Tameside,SK14 2LS,09/12/2015,17/11/2016,344.0,10663,7453,"£393,286.00","£1,143.27",31.0,"£195,467.00",£60.00,£30.00,Fine rises to £90 after 28 days,Figures not broken down for bus lanes. 
14,Staines Road,Hounslow,TW4 4BA,01/03/2011,31/12/2016,2132.0,33158,5623,"£2,198,803.86","£1,031.33",15.6,"£440,307.92",130,65,,
15,"Embankment Road (Outbound), Plymouth",Plymouth,PL4 9JD,13/08/2012,24/11/2016,1564.0,"57,314","12,628","£1,583,933.00","£1,012.74",36.6,"£352,182.00",£60.00,£30.00,Can rise to £90 or £98,
16,Church Bank (A) (Towards Bolton Road),Bradford,,02/11/2015,28/11/2016,392.0,"16,296","9,786","£392,533.56","£1,001.36",41.6,"£205,501.00",£60.00,£30.00,,
17,"High Street, Colchester",Essex,,01/05/2014,08/11/2016,922.0,54414,12801,"£920,520.00",£998.39,59.0,"£266,460.00",£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
18,Quinton Road Jct Park Road,Coventry,,01/08/2014,05/12/2016,857.0,"29,973","13,028","£848,694.34",£990.31,35.0,"£428,652.64",£60.00,£30.00,,
19,"Nottingham Road, Nuthall",Nottinghamshire,NG16 1BB,08/04/2014,29/11/2016,966.0,34955,9826,"£946,608.36",£979.93,36.2,"£319,908.19",£60.00,£30.00,Can rise to £90 or £98,
20,Wolverhampton Road,Wolverhampton,,01/06/2015,31/3/2016,305.0,,11838,,£967.73,0.0,"£295,158.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
21,"Innovation Drive, Pendeford",Staffordshire,,18/05/2015,15/12/2016,577.0,19293,12641,"£551,920.01",£956.53,33.4,"£311,899.65",£60.00,£30.00,Rises to £90 after 56 days then £98 upon debt charge,Number of PCNs is to 30 October 2016 Daily rate calculated from 2015-16 figure.
22,Oxford Road,Manchester,,02/06/2016,13/12/2016,194.0,22708,0,"£179,305.00",£924.25,117.1,£0.00,£60.00,£30.00,,
23,New Road,Southampton,SO14 0AA,25/10/2016,03/12/2016,39.0,1942,0,"£35,460.00",£909.23,49.8,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
24,Willenhall Road,Wolverhampton,,01/06/2015,31/3/2016,305.0,,10835,,£902.70,0.0,"£275,324.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
25,Wilmslow Road,Manchester,,04/09/2012,13/12/2016,1561.0,42349,7833,"£1,271,689.00",£814.66,27.1,"£248,475.00",£60.00,£30.00,,
26,London Road / Asline Road,Sheffield,,18/01/2013,28/11/2016,1410.0,44124,6419,"£1,137,963.07",£807.07,31.3,"£211,455.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
27,"Western Road, Brighton",Brighton and Hove,,25/03/2015,29/11/2016,615.0,13898,9580,"£494,394.40",£803.89,22.6,"£68,214.09",£60.00,,,
28,Unknown,Blackburn with Darwen,,14/09/2016,10/11/2016,57.0,4565,0,"£45,750.00",£802.63,80.1,£0.00,£60.00,£30.00,,£30 if paid in 21 days. 20 bus lanes. Cameras can be moved to different locations without notice
29,Cavell Drive,Portsmouth,PO6 3LG,22/07/2016,16/11/2016,117.0,3004,0,"£91,318.00",£780.50,25.7,£0.00,£60.00,£30.00,Can rise to £90 or £98,
30,Hills Road (inbound),Cambridge,CB2 1LA,05/12/2014,25/11/2016,721.0,21652,12488,"£562,147.00",£779.68,30.0,"£318,321.00",£60.00,£30.00,,
31,Bolton Road,Bradford,,11/01/2013,28/11/2016,1417.0,"36,154","10,093","£1,063,121.04",£750.26,25.5,"£329,648.31",£60.00,£30.00,,
32,"Bridge Street, Market Street junction",Bradford,,20/09/2010,28/11/2016,2261.0,"70,475","5,457","£1,637,712.77",£724.33,31.2,"£121,735.83",£60.00,£30.00,,
33,Bloomsbury Street/Great Russel Street,Camden,WC1B 3QD,11/08/2011,09/01/2017,1978.0,21592,4690,"£1,423,897.70",£719.87,10.9,"£296,448.61",,,,
34,Chiswick High Street - Homefield Road,Hounslow,W4 1SY,24/04/2012,31/12/2016,1712.0,18105,1919,"£1,228,341.87",£717.49,10.6,"£143,043.00",130,65,,
35,Highwood Road,South Gloucestershire,,01/10/2015,10/11/2016,406.0,"10,652","8,531","£290,489.26",£715.49,26.2,"£142,981.05",£60.00,£30.00,£90,£30 if paid in 14 days
36,"Nottingham Road, Mansfield",Nottinghamshire,NG8 1BL,02/02/2015,29/11/2016,666.0,15711,8962,"£467,127.64",£701.39,23.6,"£295,554.64",£60.00,£30.00,Can rise to £90 or £98,
37,St Stephens Street,Norwich,NR3 1SA,07/12/2015,05/12/2016,364.0,10127,4189,"£254,855.00",£700.15,27.8,"£88,710.00",£60.00,£30.00,,If paid in 14 days
38,Moore Street,Sheffield,,09/09/2014,28/11/2016,811.0,20010,5217,"£558,530.35",£688.69,24.7,"£171,446.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
39,John Dobson Street Southbound,Newcastle-upon-Tyne,,23/02/2016,31/10/2016,251.0,"7,652","2,046","£169,151.00",£673.91,30.5,"£12,090.00",£60.00,£30.00,Can rise to £90 or £98,
40,Newmarket Road (inbound),Cambridge,CB5 8JH,05/12/2014,25/11/2016,721.0,18713,10204,"£483,775.00",£670.98,26.0,"£253,973.00",£60.00,£30.00,,
41,Albert Street,Derby,,23/07/2015,30/10/2016,465.0,12023,7750,"£311,555.49",£670.01,25.9,"£205,012.77",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
42,Church Bank (B) (Towards Well Street),Bradford,,02/11/2015,28/11/2016,392.0,"10,426","6,138","£248,398.42",£633.67,26.6,"£124,571.00",£60.00,£30.00,,
43,Heath Road,Richmond-upon-Thames,246722,17/07/2013,14/11/2016,1216.0,5786,2751,"£752,180.00",£618.57,4.8,"£357,630.00",130,65,,
44,Victoria Street,Derby,,23/07/2015,30/10/2016,465.0,9311,5111,"£275,384.15",£592.22,20.0,"£155,930.95",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
45,Boston Street,Sheffield,,19/04/2016,28/11/2016,223.0,3982,0,"£131,310.00",£588.83,17.9,£0.00,£60.00,£30.00,50% surcharge if not paid in 28 days,
46,Low Road Junc Old Mill Lane,Leeds,,,,,,7189,,£588.40,,"£214,764.50",£60.00,£30.00,,
47,Bullsmoor Lane opp55 EN3*,Enfield,S0004,23/12/2014,13/01/2017,752.0,13936,5508,"£426,227.56",£566.79,18.5,,130,65,,
48,"Bridge Street, Interchange junction",Bradford,,04/11/2013,28/11/2016,1120.0,"23,319","7,076","£612,563.09",£546.93,20.8,"£204,054.03",£60.00,£30.00,,
49,Chiswick High Road - Cambridge Road North,Hounslow,W4 5QD,13/03/2013,31/12/2016,1389.0,10936,1726,"£757,543.46",£545.39,7.9,"£137,485.00",130,65,,
50,"Greenford Road, Greenford (Northward) (U)",Ealing,UB6 9BE,21/10/2011,12/01/2017,1910.0,16030,2965,"£1,039,971.44",£544.49,8.4,"£193,723.40",130,65,,
51,Chiswick High Road - Acton Lane,Hounslow,W4 5TT,29/09/2013,31/12/2016,1189.0,9193,2076,"£635,463.14",£534.45,7.7,"£156,261.00",130,65,,
52,"Hales Street "" Whittle Arch""",Coventry,,01/05/2011,05/12/2016,2045.0,"65,518","7,644","£1,089,758.40",£532.89,32.0,"£223,862.51",£60.00,£30.00,,
53,Broad Street,Sheffield,,13/05/2014,28/11/2016,930.0,15822,3181,"£494,862.43",£532.11,17.0,"£122,053.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
54,Mobile CCTV vehicle,Bury,,01/10/2011,17/11/2016,1874.0,37042,3973,"£987,476.00",£526.93,19.8,"£133,466.00",£60.00,,,
55,"Globe Lane, Chatham, Kent",Medway,,01/11/2011,30/11/2016,1856.0,29701,3245,"£975,711.66",£525.71,16.0,"£89,558.01",£60.00,£30.00,Discount if paid in 14 days,
56,Market Street,Wolverhampton,,30/11/2015,31/3/2016,123.0,,2628,,£524.63,0.0,"£64,529.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
57,Boar Lane,Leeds,,,,,,6897,,£524.41,,"£191,410.00",£60.00,£30.00,,
58,York St Junc Duke St,Leeds,,,,,,6476,,£517.16,,"£188,764.17",£60.00,£30.00,,
59,"Mandeville Road, Northolt (North-Eastward) (U)",Ealing,UB5 4NA,24/10/2011,12/01/2017,1907.0,14495,3402,"£938,134.79",£491.94,7.6,"£229,085.77",130,65,,
60,"The Vale, Acton (Eastward) (U)",Ealing,W3 7SB,20/06/2011,12/01/2017,2033.0,15219,2749,"£985,620.64",£484.81,7.5,"£180,086.67",130,65,,
61,Wolverhampton Road West,Walsall,,12/07/2013,16/01/2017,1284.0,20895,4554,"£614,470.00",£478.56,16.3,"£117,701.00",60,30,£90 or £98,
62,Bath Rd/ Flowers Hill Inbound (By Honda Garage),Bristol,S00007,09/10/2013,23/12/2016,1171.0,"15,783","4,772","£556,409.01",£475.16,13.5,"£146,501.61",£60.00,£30.00,,
63,Bath Rd/ West Town Lane Inbound (By Bus Stop),Bristol,S00009,30/09/2013,23/12/2016,1180.0,"15,796","4,669","£559,189.98",£473.89,13.4,"£142,563.58",£60.00,£30.00,,
64,Thornton Rd junction with Ingleby Road,Bradford,,06/03/2015,28/11/2016,633.0,"11,164","7,640","£295,299.83",£466.51,17.6,"£208,729.19",£60.00,£30.00,,
65,Northam Road,Southampton,SO15 5TE,11/07/2016,01/12/2016,143.0,2957,0,"£64,935.00",£454.09,20.7,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
66,"Southbury Road o-s76, Enfield EN1",Enfield,S0005,03/01/2015,13/01/2017,741.0,13497,5820,"£335,697.00",£453.03,18.2,,130,65,,
67,"Bridge Street, Broadway junction",Bradford,,20/09/2010,28/11/2016,2261.0,"40,957","11,194","£1,022,442.06",£452.21,18.1,"£292,119.39",£60.00,£30.00,,
68,Bury Old Road,Salford,,25/02/2015,9/12/2016,653.0,9511,6077,"£293,070.00",£448.81,14.6,"£189,990.00",£60.00,£30.00,Can rise to £90 or £98,
69,A650 Junction with Avondale Road,Bradford,,06/02/2014,28/11/2016,1026.0,"15,597","5,168","£458,128.85",£446.52,15.2,"£163,572.64",£60.00,£30.00,,
70,Kew Road,Richmond-upon-Thames,245976,06/08/2013,14/11/2016,1196.0,4561,1840,"£529,930.00",£443.09,3.8,"£239,200.00",130,65,,
71,Parrs Wood Lane,Manchester,,17/10/2011,13/12/2016,1884.0,26860,3771,"£804,281.00",£426.90,14.3,"£117,883.00",£60.00,£30.00,,
72,Bath Rd/ Wells Rd (Three Lamps) Junction,Bristol,S00004,26/04/2013,23/12/2016,1337.0,"15,301","3,730","£553,076.73",£413.67,11.4,"£101,450.14",£60.00,£30.00,,
73,Nottingham Road,Derby,,21/01/2015,30/10/2016,648.0,9073,3829,"£267,991.65",£413.57,14.0,"£129,763.60",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
74,Wellington Road,Tameside,OL6 6DL,22/10/2014,17/11/2016,757.0,9771,6569,"£311,788.00",£411.87,12.9,"£193,192.00",£60.00,£30.00,,
75,Rampant Horse Street,Norwich,NR2 1QR,07/12/2015,05/12/2016,364.0,6453,4278,"£149,407.00",£410.46,17.7,"£83,494.00",£60.00,£30.00,,If paid in 14 days
76,Bath Rd/ Totterdown Bridge (Inbound),Bristol,S00006,05/04/2013,23/12/2016,1358.0,"15,382","3,981","£557,219.99",£410.32,11.3,"£118,693.56",£60.00,£30.00,,
77,Hatherton Road,Walsall,,30/06/2014,16/01/2017,931.0,17237,2499,"£380,931.00",£409.16,18.5,"£67,894.00",60,30,£90 or £98,
78,Manchester Road South Denton,Tameside,M34 2AF,03/07/2015,17/11/2016,503.0,5812,4298,"£203,248.00",£404.07,11.6,"£127,013.00",£60.00,£30.00,,
79,Brunton Lane,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462.0,"6,895","4,208","£182,139.00",£394.24,14.9,"£102,450.00",£60.00,£30.00,Can rise to £90 or £98,
80,"Market Street, bus gate",Bradford,,20/09/2010,28/11/2016,2261.0,"33,666","3,410","£881,043.85",£389.67,14.9,"£92,732.27",£60.00,£30.00,,
81,Cheetham Hill Road (Penrose Close to Queens Road),Manchester,,21/08/2012,13/12/2016,1575.0,20767,3535,"£613,323.00",£389.41,13.2,"£114,206.00",£60.00,£30.00,,
82,Cleveland Street,Wolverhampton,,01/06/2015,31/3/2016,305.0,,5054,,£389.38,0.0,"£118,761.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
83,Rochdale Road (Livesey Street to Thompson Street),Manchester,,01/08/2013,13/12/2016,1230.0,16197,5172,"£476,138.00",£387.10,13.2,"£161,603.00",£60.00,£30.00,,
84,High Level Bridge,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462.0,"7,049","4,191","£174,794.00",£378.34,15.3,"£98,100.00",£60.00,£30.00,Can rise to £90 or £98,
85,"Nelson Street 1, bus gate",Bradford,,20/09/2010,28/11/2016,2261.0,"29,389","5,981","£841,777.92",£372.30,13.0,"£184,483.37",£60.00,£30.00,,
86,Ewell Road - between King Charles Road & the junction with Elgar Avenue,Kingston upon Thames,UAE01EWELL,19/09/2013,09/01/2017,1208.0,6894,1367,"£445,653.00",£368.92,5.7,"£89,245.00",,,,
87,"Church Road, Northolt (South-Westward) (U)",Ealing,UB5 5DW,03/09/2011,12/01/2017,1958.0,10478,2625,"£672,375.81",£343.40,5.4,"£172,889.77",130,65,,
88,North St Junc Trafalgar St,Leeds,,,,,,4080,,£342.09,,"£124,863.00",£60.00,£30.00,,
89,The Highway Shortstown,Bedford,,25/11/2013,9/11/2016,1080.0,12861,4375,"£364,321.51",£337.33,11.9,"£128,246.17",£60.00,,,
90,Bedford Road Wilstead,Bedford,,11/03/2013,9/11/2016,1339.0,12251,1984,"£442,150.53",£330.21,9.1,"£60,111.71",£60.00,,,
91,Caledonian Road N.1,Islington,LW0637,01/04/2015,30/11/2016,609.0,5484,1661,"£200,091.00",£328.56,9.0,"£79,728.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
92,"Marine Drive, Rottingdean",Brighton and Hove,,25/03/2015,29/11/2016,615.0,7371,5578,"£199,626.46",£324.60,12.0,"£129,621.77",£60.00,,,
93,Winston Churchill Avenue,Portsmouth,,24/03/2016,16/11/2016,237.0,1775,83,"£76,302.00",£321.95,7.5,"£2,565.00",£60.00,£30.00,Can rise to £90 or £98,
94,"High Street, Bloxwich",Walsall,,22/09/2015,16/01/2017,482.0,6573,5808,"£151,273.00",£313.84,13.6,"£130,391.00",60,30,£90 or £98,
95,Mansfield Road,Sheffield,,23/02/2015,28/11/2016,644.0,7300,2894,"£201,767.00",£313.30,11.3,"£111,404.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
96,"Ruislip Road, Greenford (South-Eastward & Eastward) (U)",Ealing,UB6 9QN,26/07/2011,12/01/2017,1997.0,9887,1768,"£624,618.04",£312.78,5.0,"£115,049.02",130,65,,
97,North End Road Northbound,Hammersmith and Fulham,223,01/04/2009,30/11/2016,2800.0,13664,5063,"£862,438.00",£308.01,4.9,"£322,092.00",130,65,,
98,Call Lane,Leeds,,,,,,5532,,£306.56,,"£111,894.00",£60.00,£30.00,,
99,Bath Rd/ P&R Junction Inbound,Bristol,S00010,30/09/2013,23/12/2016,1180.0,"9,852","4,003","£356,357.89",£302.00,8.3,"£118,354.07",£60.00,£30.00,,
100,"Hanger Lane, Ealing (Southward) (U)",Ealing,W5 1DY,21/10/2011,12/01/2017,1910.0,9365,1504,"£568,688.62",£297.74,4.9,"£87,069.45",130,65,,
101,Commercial Road,Portsmouth,PO1 4BL,02/02/2015,16/11/2016,653.0,7059,3126,"£192,495.00",£294.79,10.8,"£91,318.00",£60.00,£30.00,Can rise to £90 or £98,
102,Horne Lane,Bedford,,11/03/2013,9/11/2016,1339.0,13868,5241,"£391,257.30",£292.20,10.4,"£154,145.07",£60.00,,,
103,"Waterfront Way, Chatham, Kent",Medway,,01/11/2011,30/11/2016,1856.0,17835,3368,"£536,273.87",£288.94,9.6,"£91,475.90",£60.00,£30.00,Discount if paid in 14 days,
104,South Lane,Sheffield,,07/05/2014,28/11/2016,936.0,17357,4198,"£264,982.00",£283.10,18.5,"£76,214.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
105,Coach House Place,Bournemouth,,18/02/2013,02/12/2016,1383.0,18137,3439,"£388,000.00",£280.55,13.1,"£79,000.00",£60.00,,,
106,Bishop Crispian Way,Portsmouth,PO1 3HG,02/02/2015,16/11/2016,653.0,6949,2055,"£182,226.00",£279.06,10.6,"£58,161.00",£60.00,£30.00,Can rise to £90 or £98,
107,Rochdale Road (Lathbury Road to Queens Road),Manchester,,09/03/2015,13/12/2016,645.0,6201,4169,"£178,316.00",£276.46,9.6,"£127,643.00",£60.00,£30.00,,
108,"Lower Road / Fletcher Road (Tram Gate), Beeston (2 cameras)",Nottinghamshire,NG9,20/07/2015,29/11/2016,498.0,5659,3630,"£136,957.58",£275.02,11.4,"£82,645.58",£60.00,£30.00,Can rise to £90 or £98,
109,Link between Ordnance Avenue and Birchwood Way (southbound),Warrington,,28/07/2016,24/11/2016,119.0,902,0,"£31,830.00",£267.48,7.6,£0.00,£60.00,£30.00,,
110,"Pett's Hill, Northolt (Northward) (809)",Ealing,UB5 4NW,19/01/2011,12/01/2017,2185.0,8896,3085,"£583,304.72",£266.96,4.1,"£204,511.16",130,65,,
111,Kirkstall Road (Junc Viaduct Rd),Leeds,,,,,,3176,,£260.84,,"£95,207.00",£60.00,£30.00,,
112,Broadmead/ Union St Junction,Bristol,S00001,09/11/2012,23/12/2016,1505.0,"10,293","2,873","£388,562.98",£258.18,6.8,"£80,083.17",£60.00,£30.00,,
113,Essex Road / Rivers Place,Islington,LW0590,01/04/2014,30/11/2016,974.0,4044,1400,"£250,559.98",£257.25,4.2,"£92,016.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
114,Roundhay Rd Junc Shepherds Lane,Leeds,,,,,,3220,,£251.62,,"£91,842.00",£60.00,£30.00,,
115,Vicar Lane,Leeds,,,,,,3519,,£249.87,,"£91,200.77",£60.00,£30.00,,
116,Normanton Road,Derby,,09/09/2015,30/10/2016,417.0,4034,1035,"£101,677.24",£243.83,9.7,"£74,219.64",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
117,Huddersfield Road Junction with Netherlands Ave,Bradford,,07/01/2014,28/11/2016,1056.0,"9,595","2,612","£257,066.18",£243.43,9.1,"£80,802.28",£60.00,£30.00,,
118,"Pett's Hill, Northolt (Northward) (2) (U)",Ealing,UB5 4NP,13/09/2011,12/01/2017,1948.0,7578,1827,"£473,930.50",£243.29,3.9,"£116,676.58",130,65,,
119,Cheltenham Rd/ Zetland Rd Junction (Nr Bishops),Bristol,S00005,18/03/2013,23/12/2016,1376.0,"9,281",0,"£334,519.96",£243.11,6.7,-,£60.00,£30.00,,
120,Kilburn High Road/Grangeway,Camden,NW1 8JA,11/08/2011,09/01/2017,1978.0,7628,2028,"£478,787.80",£242.06,3.9,"£123,663.54",,,,
121,Crescent,Salford,,01/12/2014,9/12/2016,739.0,6671,3437,"£176,760.00",£239.19,9.0,"£95,850.00",£60.00,£30.00,Can rise to £90 or £98,
122,Great North Road,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462.0,"4,604","3,557","£110,348.00",£238.85,10.0,"£81,000.00",£60.00,£30.00,Can rise to £90 or £98,
